#cliente,rango_precio,Gama_Productos,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_Facturacion
C_1,5,1.0420591013806992,8.611919486873234,6.577188357915266,5.995186064869487,4.059395069164631
C_10,4,1.0420591013806992,8.808973180701631,6.397566145025992,6.124649760700645,3.2679532452260083
C_100,3,2.7032572088154123,13.833552551093984,16.36813907212423,7.547888302576205,10.352578708644137
C_1000,1,2.476995768343645,12.701962186024318,12.770779598008868,7.139766345128752,6.018820404601429
C_1001,4,2.476995768343645,10.786530230325264,10.24580532665415,5.9856040553741705,6.018820404601429
C_1002,2,0.0,7.170896024916648,6.390973758799185,5.923211697594226,7.341357390819898
C_1003,2,0.0,6.47462794042179,5.884515854891092,5.4403614500084405,8.329636310303615
C_1004,3,2.6358605813677958,10.786530230325264,11.128786065502322,5.813968091748057,7.975001891283273
C_1005,1,2.7032572088154123,10.9958907140141,10.059848894243524,5.871713408606986,5.131721160682501
C_1006,5,2.063396506412214,10.823289510017489,10.75131023714183,6.4363138613907065,6.930546806463588
C_1007,1,2.063396506412214,9.628541387553213,7.33203950730417,5.6777983338573454,3.2679532452260083
C_1008,1,2.820607993743636,10.468355393143922,9.46931830850376,5.403384860512569,5.131721160682501
C_1009,1,3.006709525706561,15.8397606446482,15.60467698415429,8.307715485105128,3.811695200781606
C_101,4,2.476995768343645,9.06716645917927,8.339737004884332,4.863717837963049,6.491647292530444
C_1010,4,2.5994683380225028,11.730831459096422,11.986409535949283,6.438115357051101,7.07036443152918
C_1011,5,3.151032444262809,14.245898897836597,14.432095514864974,7.297241983010621,5.131721160682501
C_1012,2,2.063396506412214,10.549647766848665,8.939160491159429,6.266246546224164,4.059395069164631
C_1013,1,2.7032572088154123,14.773881863181558,14.82308568126031,8.059632358838252,4.730718191674009
C_1014,3,2.820607993743636,12.15705309809573,12.073389466312785,6.4553167975567645,6.018820404601429
C_1015,3,1.7731684932201213,9.09092166656407,7.339180437904571,5.618785583714251,4.29405861764814
C_1016,1,3.3074062818202368,14.237662857690667,15.05249564724518,7.11646106826344,6.338151758510183
C_1017,5,1.7731684932201213,9.675876569188858,9.005555189465221,6.00045941911997,6.338151758510183
C_1018,4,1.0420591013806992,8.487052998625662,8.229284105846576,5.912707352901394,8.095150733726634
